data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,us-east-1:AWS/EC2 InstanceId:i-0533fb2aa07eaac53 CPUUtilization Sum 60,us-east-1:AWS/EC2 InstanceId:i-086105741d21aec32 CPUUtilization Sum 60,us-east-1:AWS/EC2 InstanceId:i-04921186509432ba3 CPUUtilization Sum 60
Label,CPUUtilization,CPUUtilization,CPUUtilization
2024/04/10 09:09:00,0.8514048179496169,0.6666666666666667,40.2459016393443
2024/04/10 09:10:00,82.80207067596585,41.93333333333333,72.5833333333333
2024/04/10 09:11:00,55.18126938598539,33.74166666666666,4.25000000000002
2024/04/10 09:12:00,90.03185935180397,74.09166666666665,73.75
2024/04/10 09:13:00,55.59716397044137,8.908333333333333,34.9999999999999
2024/04/10 09:14:00,69.4481493831277,67.75,38.7096774193548
2024/04/10 09:15:00,78.74685296030145,39.85700476650778,74.9152542372881
2024/04/10 09:16:00,62.5166400425985,34.97383420552648,6.35593220338983
2024/04/10 09:17:00,93.63904585687852,72.28333333333333,72.2881355932204
2024/04/10 09:18:00,49.95913874480895,8.575285842861428,36.8852459016393
2024/04/10 09:19:00,67.58560843735398,70.11783529725494,38.7288135593221
2024/04/10 09:20:00,85.66191785386987,37.87373754208193,68.6666666666667
2024/04/10 09:21:00,53.89361347340336,37.501875093754684,7.4137931034482
2024/04/10 09:22:00,91.25497444094776,70.63333333333334,71.6666666666666
2024/04/10 09:23:00,51.542356507545215,8.1,31.4166666666667
2024/04/10 09:24:00,69.12446237455406,71.74166666666667,45.0000000000001
2024/04/10 09:25:00,73.4160353009741,40.61666666666667,61.9999999999999
2024/04/10 09:26:00,61.00994618729487,34.475,14.1379310344828
2024/04/10 09:27:00,88.02740412732894,68.39658017099144,73.9344262295082
2024/04/10 09:28:00,58.983802159712035,8.633765021584413,25.4237288135593
2024/04/10 09:29:00,73.02248126561199,73.625,49.7540983606556
2024/04/10 09:30:00,79.9076096926438,34.040531982267254,63.3606557377051